origin,timestamp,horizon,analysis_period,actual_P_kW,actual_Q_kVAr,S24-T10_P_kW,S24-T10_Q_kVAr,S24-T30_P_kW,S24-T30_Q_kVAr,S24-T60_P_kW,S24-T60_Q_kVAr,S36-T60_P_kW,S36-T60_Q_kVAr,S48-T60_P_kW,S48-T60_Q_kVAr,SNaive-168_P_kW,SNaive-168_Q_kVAr,SNaive-24_P_kW,SNaive-24_Q_kVAr
2022-02-15,2022-02-15 21:00:00,22,primary_54,2429.1,726.9,2309.394024393984,687.2292256669245,2348.201082904827,692.1054074409718,2387.500252446406,689.628320430437,2357.2848168323253,689.9416411608947,2346.952420538808,701.1190356876359,2163.3,508.2,2391.0,691.8
2022-02-15,2022-02-15 22:00:00,23,primary_54,2232.6,708.9,2193.0901913281905,670.3284435432896,2225.154053435728,685.6632334239384,2267.589855848383,694.8965210273701,2242.41400460605,688.0620535252506,2237.5930253503307,702.4549973459956,2000.4,484.2,2283.9,700.2
2022-02-15,2022-02-15 23:00:00,24,primary_54,2054.4,706.8000000000001,2010.89411601952,651.3546916675988,2056.3628869719632,661.0457447667728,2072.9617241053693,667.6128687335365,2067.391086729361,665.0491552949098,2065.789553387068,672.4255256286699,1851.3,489.0,2082.6,639.5999999999999
2022-02-16,2022-02-16 00:00:00,1,primary_54,1999.5,765.0,1893.3220975150648,643.214998217963,1937.2339723160253,679.893419802007,1926.346606488094,668.1573649634845,1933.15363259324,674.1482671587272,1933.8304439098588,658.6243335831645,1768.8,507.6,1920.0,602.1
2022-02-16,2022-02-16 01:00:00,2,primary_54,1928.1,774.0,1845.9541747211329,641.1356808480301,1874.3128638706064,665.5786990037466,1886.352847057463,661.8012281946867,1889.9113634362277,667.897345819498,1888.7272523395184,656.676911430267,1735.8,532.8,1914.3,643.2
2022-02-16,2022-02-16 02:00:00,3,primary_54,1906.8,783.0,1767.5662477183942,626.6914699146065,1816.942605819106,652.2495939293767,1830.7755165542887,649.2250677812208,1828.6791819470875,660.5994310802989,1830.7781324215864,654.09516216522,1717.2,557.7,1865.4,645.3
2022-02-16,2022-02-16 03:00:00,4,primary_54,1854.9,714.3,1726.03520111994,609.8711432207173,1784.9468645344546,645.4358044255106,1791.405373779512,639.0566375751572,1795.033286447719,645.7755916450769,1800.1300587334615,642.9884789083993,1710.3,563.4,1871.1,656.4
2022-02-16,2022-02-16 04:00:00,5,primary_54,1852.2,700.8000000000001,1720.1343784894154,618.0919952901171,1781.318541664903,627.5604761110005,1807.6666446120764,624.8643569432649,1805.9678616664628,629.8906575389054,1821.6714215073823,631.7790919836921,1733.7,567.6,1887.3,657.9
2022-02-16,2022-02-16 05:00:00,6,primary_54,1860.6,625.1999999999999,1821.1952348421453,586.0665347947522,1868.39883296252,603.6979267725809,1885.415186577134,609.7307811923682,1877.4283503303773,609.3074083695005,1902.3759911432307,603.1709857767581,1793.7,566.4,1963.5,644.7
2022-02-16,2022-02-16 06:00:00,7,primary_54,1970.7,586.8,1945.600706387964,576.9150271837198,1981.0104396443287,585.1104253795473,2002.358187523479,587.0017483825269,1977.8591728557813,584.6091303695114,2000.061457504864,570.4101019215665,1887.9,550.8,2054.7,620.6999999999999
