configuration,origin,MSE_P,MSE_Q,MAE_P,MAE_Q,analysis_period,paired_normalized_squared_loss,CRPS_P,CRPS_Q,paired_normalized_CRPS
S48-T60,2022-01-31,10863.10598243667,18235.667118057183,76.19236991057748,101.49222440655753,primary_54,0.31999469482628207,56.58966936607937,75.56211544621156,0.3117745100141939
S48-T60,2022-02-01,7366.592137527514,5839.776663056407,76.95848116059977,65.09173667028038,primary_54,0.15520344900476976,46.77985221929102,45.16415094106508,0.22008823315446302
S48-T60,2022-02-02,2808.3578176981005,7478.581292757745,40.19170249003623,69.31015892534832,primary_54,0.10889892571221348,33.43416201468481,48.74571518155966,0.1931276956644325
S48-T60,2022-02-03,6176.39560197922,6719.794474259698,59.76022205755462,66.86701679097656,primary_54,0.14739369260671814,43.10010848202719,44.65779613316355,0.20940410688164204
S48-T60,2022-02-04,4305.561023028552,2622.885977670797,52.50942803847284,43.05602040390965,primary_54,0.08322909916464376,43.50402310528616,36.33907033770532,0.19235585400594524
S48-T60,2022-02-05,4851.6747122837805,4001.9033879317926,45.89093497056246,52.42355413013323,primary_54,0.1036929256704216,42.208331674384745,39.50649245494643,0.19587350877061577
S48-T60,2022-02-06,1719.5868490513524,1600.9016246453675,31.497852654181003,33.4754618163077,primary_54,0.038480042205291304,36.62056371178648,28.77204041543184,0.15796617440615784
S48-T60,2022-02-07,9002.140550862172,12916.198293541753,70.04985306098241,99.66218003042094,primary_54,0.24438823755867944,61.44322945090121,71.10498229668974,0.31471568455032384
S48-T60,2022-02-08,24186.60884126216,23715.36587377006,130.29836260896744,118.1472053637541,primary_54,0.5525798485971166,97.85286847547734,91.50408124903429,0.45391454485196214
S48-T60,2022-02-09,28772.712874741326,39024.91344978405,116.56840598137107,141.05572560496725,primary_54,0.75973647766799,94.37023528478151,112.35652391258108,0.4902166966488066
S48-T60,2022-02-10,8929.158424138792,11922.774147283495,66.54971341920621,82.08185859684964,primary_54,0.23399225441650778,45.59273566877866,53.71940110213995,0.23561159238029736
S48-T60,2022-02-11,7018.108613908295,8504.32664110312,64.76046484287369,66.48828798202008,primary_54,0.17570619246780905,52.795521921453,51.73811494225447,0.2500573728107833
S48-T60,2022-02-12,8926.656362055135,6129.386267756311,80.574745699384,69.55941175457963,primary_54,0.17910408910888562,56.11332226131682,46.69990250125278,0.24773496303782194
S48-T60,2022-02-13,6179.725128136416,1436.3524188106373,67.63634078307693,31.444060652069016,primary_54,0.09741300002426456,49.21463100809299,28.1863744547056,0.1894879648878683
