n_hours,n_days,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,CRPS,Pinball_mean,Coverage80,Width80,IntervalScore80,Coverage95,Width95,IntervalScore95,model_id,target,regime
1296,54,264.99758085159675,208.90945251174537,9.695090679824187,9.461859803810112,9.51147248469733,-40.369984567901234,163.5707318175518,85.61584878727055,0.6064814814814815,481.1041666666667,1099.2510640843716,0.8140432098765432,786.5749999999999,1652.1028445605548,seasonal_naive_lag168,P_Power,before_2022-02-24
120,5,414.46449556425614,353.37916666666666,21.4443783687425,18.689949177400315,19.941153013451007,-346.5491666666667,327.7165207545684,170.29408442982455,0.25,481.10416666666663,2558.295833333333,0.4,786.575,5110.141666666663,seasonal_naive_lag168,P_Power,from_2022-02-24
1296,54,185.79679638267095,133.62285945824632,6.142702677180475,6.026732408652486,6.083736929003884,-7.899768518518518,96.83976568197905,50.579247519249705,0.8665123456790124,497.65000000000003,653.5490745038425,0.966820987654321,826.4375,1047.9046646967442,seasonal_naive_lag24,P_Power,before_2022-02-24
120,5,214.34596917133754,159.48,8.888148359540082,8.421168377866687,8.99944134393463,-60.00000000000001,119.04407785916823,62.425569627192985,0.6833333333333333,497.65,821.525,0.8916666666666667,826.4374999999998,1037.3374999999994,seasonal_naive_lag24,P_Power,from_2022-02-24
1296,54,131.7621976738489,101.62983619970743,16.230647895645912,14.999439085429126,14.981151010797852,-36.70857226384695,73.46522414722978,38.507954129482044,0.7554012345679012,301.7469245622142,458.24162515346376,0.9382716049382716,515.5801369480122,655.6582106678737,LagDrop_LGBM,Q_Power,before_2022-02-24
120,5,154.94800336939556,117.55051226940124,15.77369395021634,15.809363485299588,16.13624286887575,33.748131750855535,88.88432670897525,46.6339487663143,0.6583333333333333,301.7469245622142,569.9762013828384,0.9,515.5801369480122,753.4908950352105,LagDrop_LGBM,Q_Power,from_2022-02-24
1296,54,151.4139761445315,117.7953718529225,19.674515470738214,17.349832629516722,17.364096215150635,-67.94557442487144,96.26156293607579,50.377119810648516,0.6304012345679012,322.2200141570429,634.9748286927953,0.8510802469135802,502.42237773894857,924.5654955135802,SFS_LGBM,Q_Power,before_2022-02-24
120,5,146.12620038896597,108.69576974854775,15.053279126875804,14.422960002075788,14.920746031819043,5.241358057058661,85.58739484585581,44.83165240855538,0.75,322.22001415704295,537.544562003733,0.925,502.4223777389486,768.2925477126263,SFS_LGBM,Q_Power,from_2022-02-24
1296,54,152.92319490477848,119.08279311496189,19.888082735756786,17.50117859918497,17.55387367679314,-69.50392475990154,96.03176689447227,50.332673988697486,0.6381172839506173,321.783439804828,632.2161192035912,0.845679012345679,498.82833761221667,940.3610287042118,SFS_LGBM_1,Q_Power,before_2022-02-24
120,5,147.36190811818585,108.91191343661161,15.082025639542076,14.44310269266826,14.950416230424215,6.459035868382616,85.15048895276705,44.62023255714427,0.7416666666666667,321.78343980482794,539.3433167317926,0.925,498.8283376122166,785.1219922139715,SFS_LGBM_1,Q_Power,from_2022-02-24
1296,54,154.30683442061218,119.12736617336499,19.82418484347368,17.3802056160238,17.56044414609546,-71.23234280536985,96.43257167022311,50.499125944370576,0.6026234567901234,308.90389769619145,676.3342467834088,0.8333333333333334,495.66314308494844,998.0209422469374,SFS_LGBM_2,Q_Power,before_2022-02-24
120,5,146.72377972503418,108.62400883848252,15.124496910998564,14.424282088931637,14.910895360384705,2.82042285405082,85.37175473033122,44.71428371399338,0.725,308.9038976961914,563.5467433702609,0.9333333333333333,495.66314308494844,815.6281162738555,SFS_LGBM_2,Q_Power,from_2022-02-24
